folder	file_name	genus	species	data_source	country	specimen_id	mask_percent	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
2018 November	DSC_0001-CV1-TRAMPA.JPG	Hoplias 	malabaricus	field	Peru	CV1-298	16.75567626953125	Ancistrus	54.52	Erythrinus	41.9	Prochilodus	1.81	Gymnotus	0.87	Bujurquina	0.35
2018 November	DSC_0002-CV2-TRAMPA.JPG	Leporinus	friderici	field	Peru	CV2-492	39.59503173828125	Prochilodus	99.92	Moenkhausia	0.06	Ancistrus	0.01	Hemigrammus	0.0	Tetragonopterus	0.0
2018 November	DSC_0002-KANT1.JPG	Laetacara	flavilabris	field	Peru	CV2-300	10.1776123046875	Bujurquina	91.77	Corydoras	5.07	Apistogramma	1.3	Bario	0.65	Moenkhausia	0.52
2018 November	DSC_0003-CV2-TRAMPA.JPG	Hoplias 	malabaricus	field	Peru	CV2-493	41.47186279296875	Prochilodus	99.69	Erythrinus	0.29	Charax	0.02	Moenkhausia	0.0	Otocinclus	0.0
2018 November	DSC_0005-KANT1.JPG	Moenkhausia	sp. 1	field	Peru	CV2-303	19.67010498046875	Moenkhausia	93.9	Astyanax	5.16	Tetragonopterus	0.61	Prochilodus	0.13	Bario	0.05
2018 November	DSC_0003-KANT1.JPG	Bujurquina	moriorum	field	Peru	CV2-301	8.95233154296875	Bujurquina	98.47	Corydoras	1.41	Apistogramma	0.08	Gasteropelecus	0.02	Bario	0.01
2018 November	DSC_0006-CV2-TRAMPA.JPG	Pimelodella	cf. cristata	field	Peru	CV2-495	21.4111328125	Doras	43.5	Pimelodella	43.28	Prochilodus	6.94	Bryconops	3.5	Sorubim	1.24
2018 November	DSC_0006-KANT1.JPG	Apistogramma	bitaeniata	field	Peru	CV2-304	6.15997314453125	Bujurquina	52.01	Apistogramma	35.27	Erythrinus	4.76	Ancistrus	2.92	Tatia	1.61
2018 November	DSC_0007-KANT1.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-305	2.8839111328125	Apistogramma	94.22	Ancistrus	2.16	Bujurquina	1.22	Bunocephalus	0.63	Corydoras	0.35
2018 November	DSC_0008-KANT1.JPG	Apistogramma	bitaeniata	field	Peru	CV2-306	6.19964599609375	Apistogramma	99.58	Bujurquina	0.28	Ancistrus	0.08	Bario	0.02	Tatia	0.01
2018 November	DSC_0009-KANT1.JPG	Corydoras	aeneus	field	Peru	CV2-307	18.243408203125	Bujurquina	47.83	Corydoras	45.73	Bario	1.59	Apistogramma	1.34	Erythrinus	1.27
2018 November	DSC_0010-KANT1.JPG	Corydoras	aeneus	field	Peru	CV2-308	14.08843994140625	Corydoras	99.97	Gasteropelecus	0.01	Bujurquina	0.01	Ancistrus	0.0	Moenkhausia	0.0
2018 November	DSC_0011-KANT1.JPG	Ituglanis	cf. amazonicus	field	Peru	CV2-309	12.31689453125	Erythrinus	99.92	Apistogramma	0.05	Bujurquina	0.03	Ancistrus	0.0	Pimelodella	0.0
2018 November	DSC_0012-KANT1.JPG	Carnegiella	strigata	field	Peru	CV2-310	4.78973388671875	Bunocephalus	97.5	Tatia	0.75	Bario	0.54	Phenacogaster	0.41	Pygocentrus	0.27
2018 November	DSC_0013-KANT1.JPG	Carnegiella	strigata	field	Peru	CV2-311	3.7109375	Bunocephalus	96.05	Tatia	1.34	Charax	1.26	Bario	0.3	Ancistrus	0.24
2018 November	DSC_0015-KANT1.JPG	Chrysobrycon	hesperus	field	Peru	CV2-313	4.5257568359375	Hemigrammus	56.91	Knodus	31.81	Hyphessobrycon	5.11	Phenacogaster	1.65	Astyanax	1.12
2018 November	DSC_0014-KANT1.JPG	Chrysobrycon	hesperus	field	Peru	CV2-312	6.37359619140625	Knodus	81.85	Hyphessobrycon	5.25	Astyanax	3.21	Hemigrammus	2.73	Phenacogaster	2.15
2018 November	DSC_0017-KANT1.JPG	Knodus	caquetae	field	Peru	CV2-315	4.17022705078125	Knodus	98.37	Hyphessobrycon	1.41	Bryconops	0.08	Creagrutus	0.04	Hemigrammus	0.02
2018 November	DSC_0016-KANT1.JPG	Knodus	caquetae	field	Peru	CV2-314	6.04400634765625	Knodus	38.9	Creagrutus	29.43	Bario	13.03	Bryconops	6.5	Hyphessobrycon	2.92
2018 November	DSC_0018-KANT1.JPG	Knodus	caquetae	field	Peru	CV2-316	4.0435791015625	Knodus	99.5	Bryconops	0.18	Hemigrammus	0.09	Creagrutus	0.08	Gasteropelecus	0.04
