Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Nombre cientifico	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name
DSC_0164 - DSC_0165	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-01	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0164.JPG
DSC_0164 - DSC_0165	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-01	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0165.JPG
DSC_0166 - DSC_0167	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-02	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0166.JPG
DSC_0166 - DSC_0167	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-02	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0167.JPG
DSC_0168 - DSC_0169	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-03	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0168.JPG
DSC_0168 - DSC_0169	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-03	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0169.JPG
DSC_0170 - DSC_0171	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-04	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0170.JPG
DSC_0170 - DSC_0171	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Laetacara	flavilabris	Laetacara flavilabris	T1-CV1QCH-04	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0171.JPG
DSC_0172 - DSC_0173	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-05	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0172.JPG
DSC_0172 - DSC_0173	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T1-CV1QCH-05	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0173.JPG
DSC_0184 - DSC_0185	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-06	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0184.JPG
DSC_0184 - DSC_0185	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-06	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0185.JPG
DSC_0186 - DSC_0187	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-07	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0186.JPG
DSC_0186 - DSC_0187	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-07	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0187.JPG
DSC_0188 - DSC_0189	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Bujurquina	moriorum	Bujurquina moriorum	T1-CV1QCH-08	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0188.JPG
DSC_0188 - DSC_0189	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Cichlidae	Bujurquina	moriorum	Bujurquina moriorum	T1-CV1QCH-08	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0189.JPG
DSC_0190 - DSC_0191	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-09	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0190.JPG
DSC_0190 - DSC_0191	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Callichthyidae	Corydoras	aeneus	Corydoras aeneus	T1-CV1QCH-09	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0191.JPG
DSC_0192 - DSC_0193	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. eleanorae	Pyrrhulina cf. eleanorae	T1-CV1QCH-10	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0192.JPG
DSC_0192 - DSC_0193	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Lebiasinidae	Pyrrhulina	cf. eleanorae	Pyrrhulina cf. eleanorae	T1-CV1QCH-10	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0193.JPG
DSC_0194 - DSC_0195	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Synbranchidae	Synbranchus	marmoratus	Synbranchus marmoratus	T1-CV1QCH-11	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0194.JPG
DSC_0194 - DSC_0195	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Synbranchidae	Synbranchus	marmoratus	Synbranchus marmoratus	T1-CV1QCH-11	Chapintsa	T1-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0195.JPG
DSC_0196 - DSC_0197	Morona 3ra entrada 2019,nov	Nikon D 3500	Wed Nov 20 00:00:00 EST 2019	Characidae	Moenkhausia	sp. 1	Moenkhausia sp. 1	T2-CV1QCH-01	Chapintsa	T2-30-50	Morgan, Leo, Peas y wilson 	Red de arrastre y red de mano	DSC_0196.JPG
