folder	file_name	genus	species	data_source	country	specimen_id
2018 November	DSC_0001-CV1-TRAMPA.JPG	Hoplias 	malabaricus	field	Peru	CV1-298
2018 November	DSC_0002-CV2-TRAMPA.JPG	Leporinus	friderici	field	Peru	CV2-492
2018 November	DSC_0002-KANT1.JPG	Laetacara	flavilabris	field	Peru	CV2-300
2018 November	DSC_0003-CV2-TRAMPA.JPG	Hoplias 	malabaricus	field	Peru	CV2-493
2018 November	DSC_0005-KANT1.JPG	Moenkhausia	sp. 1	field	Peru	CV2-303
2018 November	DSC_0003-KANT1.JPG	Bujurquina	moriorum	field	Peru	CV2-301
2018 November	DSC_0006-CV2-TRAMPA.JPG	Pimelodella	cf. cristata	field	Peru	CV2-495
2018 November	DSC_0006-CV2-TRAMPA.JPG	Pimelodella	cf. cristata	field	Peru	CV2-495
2018 November	DSC_0006-KANT1.JPG	Apistogramma	bitaeniata	field	Peru	CV2-304
2018 November	DSC_0007-KANT1.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-305
2018 November	DSC_0008-KANT1.JPG	Apistogramma	bitaeniata	field	Peru	CV2-306
2018 November	DSC_0009-KANT1.JPG	Corydoras	aeneus	field	Peru	CV2-307
2018 November	DSC_0010-KANT1.JPG	Corydoras	aeneus	field	Peru	CV2-308
2018 November	DSC_0011-KANT1.JPG	Ituglanis	cf. amazonicus	field	Peru	CV2-309
2018 November	DSC_0012-KANT1.JPG	Carnegiella	strigata	field	Peru	CV2-310
2018 November	DSC_0013-KANT1.JPG	Carnegiella	strigata	field	Peru	CV2-311
2018 November	DSC_0015-KANT1.JPG	Chrysobrycon	hesperus	field	Peru	CV2-313
2018 November	DSC_0014-KANT1.JPG	Chrysobrycon	hesperus	field	Peru	CV2-312
2018 November	DSC_0017-KANT1.JPG	Knodus	caquetae	field	Peru	CV2-315
2018 November	DSC_0016-KANT1.JPG	Knodus	caquetae	field	Peru	CV2-314
2018 November	DSC_0018-KANT1.JPG	Knodus	caquetae	field	Peru	CV2-316
2018 November	DSC_0022-KANT1.JPG	Characidium	cf.pellucidum	field	Peru	CV2-320
2018 November	DSC_0024-KANT2.JPG	Hyphessobrycon	agulha	field	Peru	CV2-322
2018 November	DSC_0019-KANT1.JPG	Hemigrammus	luelingui	field	Peru	CV2-317
2018 November	DSC_0027-KANT2.JPG	Hyphessobrycon	agulha	field	Peru	CV2-325
2018 November	DSC_0032-KANT2.JPG	Apistogramma	bitaeniata	field	Peru	CV2-330
2018 November	DSC_0030-KANT2.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV2-328
2018 November	DSC_0028-KANT2.JPG	Hyphessobrycon	agulha	field	Peru	CV2-326
2018 November	DSC_0033-KANT2.JPG	Apistogramma	aff. cruzi	field	Peru	CV2-331
2018 November	DSC_0036-KANT2.JPG	Corydoras	aeneus	field	Peru	CV2-334
2018 November	DSC_0039-KANT2.JPG	Hemigrammus	sp. 2	field	Peru	CV2-337
2018 November	DSC_0038-KANT2.JPG	Hemigrammus	sp. 2	field	Peru	CV2-336
2018 November	DSC_0040-KANT2.JPG	Laetacara	flavilabris	field	Peru	CV2-338
2018 November	DSC_0043-KANT3.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-341
2018 November	DSC_0045-KANT3.JPG	Bujurquina	moriorum	field	Peru	CV2-343
2018 November	DSC_0042-KANT3.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-340
2018 November	DSC_0046-KANT3.JPG	Laetacara	flavilabris	field	Peru	CV2-344
2018 November	DSC_0047-KANT3.JPG	Corydoras	aeneus	field	Peru	CV2-345
2018 November	DSC_0064-HET6.JPG	Gasteropelecus	sternicla	field	Peru	CV1-110
2018 November	DSC_0048-CV2-TRAMPA.JPG	Serrasalmus	rhombeus	field	Peru	CV2-496
2018 November	DSC_0065-HET6.JPG	Gasteropelecus	sternicla	field	Peru	CV1-111
2018 November	DSC_0067-HET6.JPG	Moenkhausia	comma	field	Peru	CV1-113
2018 November	DSC_0066-HET6.JPG	Gasteropelecus	sternicla	field	Peru	CV1-112
2018 November	DSC_0068-HET6.JPG	Bujurquina	moriorum	field	Peru	CV1-114
2018 November	DSC_0069-HET6.JPG	Laetacara	flavilabris	field	Peru	CV1-115
2018 November	DSC_0070-HET6.JPG	Laetacara	flavilabris	field	Peru	CV1-116
2018 November	DSC_0071-HET6.JPG	Laetacara	flavilabris	field	Peru	CV1-117
2018 November	DSC_0073-HET6.JPG	Apistogramma	aff. cruzi	field	Peru	CV1-119
2018 November	DSC_0074-HET6.JPG	Apistogramma	aff. cruzi	field	Peru	CV1-120
2018 November	DSC_0075-HET6.JPG	Apistogramma	aff. cruzi	field	Peru	CV1-121
2018 November	DSC_0076-HET6.JPG	Pyrrhulina	cf. eleanorae	field	Peru	CV1-122
2018 November	DSC_0077-HET6.JPG	Pyrrhulina	cf. eleanorae	field	Peru	CV1-123
2018 November	DSC_0078-HET6.JPG	Pyrrhulina	cf. eleanorae	field	Peru	CV1-124
2018 November	DSC_0079-HET6.JPG	Pyrrhulina	cf. eleanorae	field	Peru	CV1-125
2018 November	DSC_0081-HET6.JPG	Knodus	caquetae	field	Peru	CV1-126
2018 November	DSC_0088-CHT1.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV1-002
2018 November	DSC_0090-CHT1.JPG	Hyphessobrycon	cf. margitae	field	Peru	CV1-003
2018 November	DSC_0091-CHT1.JPG	Hemigrammus	sp. 2	field	Peru	CV1-004
2018 November	DSC_0095-CHT1.JPG	Gasteropelecus	sternicla	field	Peru	CV1-007
2018 November	DSC_0097-CHT1.JPG	Gasteropelecus	sternicla	field	Peru	CV1-008
2018 November	DSC_0112-CHT1.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-010
2018 November	DSC_0113-CHT1.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-011
2018 November	DSC_0117-CHT1.JPG	Acestrorhynchus	falcatus	field	Peru	CV1-012
2018 November	DSC_0119-CHT2.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-015
2018 November	DSC_0121-CHT2.JPG	Laetacara 	flavilabris	field	Peru	CV1-017
2018 November	DSC_0120-CHT2.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-016
2018 November	DSC_0122-CHT2.JPG	Apistogramma	aff. cruzi	field	Peru	CV1-018
2018 November	DSC_0124-CHT2.JPG	Pyrrhulina	cf. brevis	field	Peru	CV1-019
2018 November	DSC_0178-CHT2.JPG	Copeina	osgoodi	field	Peru	CV1-021
2018 November	DSC_0177-CHT2.JPG	Moenkhausia	sp. 1	field	Peru	CV1-020
2018 November	DSC_0179-CHT2.JPG	Laetacara 	flavilabris	field	Peru	CV1-022
2018 November	DSC_0183-KANT4.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-347
2018 November	DSC_0180-CHT2.JPG	Pimelodella	sp. 2	field	Peru	CV1-023
2018 November	DSC_0184-KANT4.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-348
2018 November	DSC_0182-KANT4.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-346
2018 November	DSC_0185-KANT4.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-349
2018 November	DSC_0189-KANT4.JPG	Moenkhausia	sp. 1	field	Peru	CV2-353
2018 November	DSC_0190-KANT4.JPG	Moenkhausia	sp. 1	field	Peru	CV2-354
2018 November	DSC_0187-KANT4.JPG	Gasteropelecus 	sternicla	field	Peru	CV2-351
