Codigo foto,Carpeta/Subcarpeta,Camara usada,Fecha,Familia,Genero,Especie,Código/ ID del individuo*,Descripcion o Ubicacion,Quebrada-transecto ,Colectores ,Metodo de captura 
DSC_0001-CV1-TRAMPA,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/23/2018,Erythrinidae,Hoplias ,malabaricus,CV1-298,CV1-Mashumbara ,Mashumbara,"Leo, Morgan, Antonio y Perciles ",Red de espera
DSC_0001-CV2-TRAMPA,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Erythrinidae,Hoplias ,malabaricus,CV2-491,CV2-Katirnaentsa,Katirnaentsa,"Leo, Morgan, Antonio y Perciles ",Red de espera
DSC_0001-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Erythrinidae,Erythrinus ,erythrinus,CV2-299,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0002-CV2-TRAMPA,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Anostomidae,Leporinus,friderici,CV2-492,CV2-Katirnaentsa,Katirnaentsa,"Leo, Morgan, Antonio y Perciles ",Red de espera
DSC_0002-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Cichlidae,Laetacara,flavilabris,CV2-300,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0003-CV2-TRAMPA,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Erythrinidae,Hoplias ,malabaricus,CV2-493,CV2-Katirnaentsa,Katirnaentsa,"Leo, Morgan, Antonio y Perciles ",Red de espera
DSC_0003-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Cichlidae,Bujurquina,moriorum,CV2-301,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0004-CV2-TRAMPA,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Serrasalmidae,Myloplus ,asterias,CV2-494,CV2-Katirnaentsa,Katirnaentsa,"Leo, Morgan, Antonio y Perciles ",Red de espera
DSC_0004-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Cichlidae,Bujurquina,moriorum,CV2-302,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0005-CV2-TRAMPA DSC_0006-CV2-TRAMPA ,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Heptapteridae,Pimelodella,cf. cristata,CV2-495,CV2-Katirnaentsa,Katirnaentsa,"Leo, Morgan, Antonio y Perciles ",Red de espera
DSC_0005-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Moenkhausia,sp. 1,CV2-303,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0006-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Cichlidae,Apistogramma,bitaeniata,CV2-304,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0007-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Cichlidae,Apistogramma,aff. cruzi,CV2-305,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0008-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Cichlidae,Apistogramma,bitaeniata,CV2-306,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0009-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Callichthyidae,Corydoras,aeneus,CV2-307,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0010-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Callichthyidae,Corydoras,aeneus,CV2-308,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0011-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Trichomycteridae,Ituglanis,cf. amazonicus,CV2-309,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0012-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Gasteropelecidae,Carnegiella,strigata,CV2-310,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0013-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Gasteropelecidae,Carnegiella,strigata,CV2-311,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0014-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Chrysobrycon,hesperus,CV2-312,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0015-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Chrysobrycon,hesperus,CV2-313,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0016-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Knodus,caquetae,CV2-314,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0017-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Knodus,caquetae,CV2-315,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0018-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Knodus,caquetae,CV2-316,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0019-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hemigrammus,luelingui,CV2-317,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0020-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Moenkhausia,sp. 1,CV2-318,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0021-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Heptapteridae,unknown,unknown,CV2-319,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0022-KANT1,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Crenuchidae,Characidium,cf.pellucidum,CV2-320,CV2-Katirnaentsa,Kantashentsa-T1,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0023-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,agulha,CV2-321,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0024-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,agulha,CV2-322,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0025-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,agulha,CV2-323,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0026-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,agulha,CV2-324,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0027-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,agulha,CV2-325,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0028-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,agulha,CV2-326,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0029-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,cf. margitae,CV2-327,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
DSC_0030-KANT2,Peces Morona Nov-2018/PECES CV1 Y CV2,Nikon 5300,11/24/2018,Characidae,Hyphessobrycon,cf. margitae,CV2-328,CV2-Katirnaentsa,Kantashentsa-T2,"Leo, Morgan, Antonio y Perciles ",Red de arrastre
