Codigo foto,Familia,Genero,Especie
DSC_0001-HER,Acestrorhynchidae,Acestrorhynchus,falcatus
DSC_0001-KANT,Lebiasinidae,Copeina ,osgoodi
DSC_0001-TRAMPCV1,Ctenoluciidae,Boulengerella ,cuvieri
DSC_0001-TRAMPCV2,Prochilodontidae,Prochilodus,nigricans
DSC_0002-HER,Characidae,Moenkhausia,oligolepis
DSC_0002-TRAMPCV2,Anostomidae ,Leporinus,friderici
DSC_0003-TRAMPCV2,Anostomidae ,Schizodon,fasciatus
DSC_0004-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0004-TRAMPCV2,Anostomidae ,Leporinus,friderici
DSC_0005-HER,Characidae,Moenkhausia,oligolepis
DSC_0005-TRAMPCV2,Anostomidae ,Schizodon,fasciatus
DSC_0006-HER,Characidae,Astyanax ,cf. anterior
DSC_0006-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0006-TRAMPCV2,Serrasalmidae,Serrasalmus ,sp. 1
DSC_0007-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0007-TRAMPCV2 -DSC_0008-TRAMPCV2,Loricariidae,Hypostomus,sp. 2
DSC_0008-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0009-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0010-HER,Characidae,Moenkhausia,comma
DSC_0010-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0011-HER,Characidae,Moenkhausia,comma
DSC_0011-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0011-TRAMPCV2 -DSC_0012-TRAMPCV2,Loricariidae,Hypostomus,sp. 1 
DSC_0012-HER,Characidae,Moenkhausia,comma
DSC_0012-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0012-TRAMPCV1-DSC_0013-TRAMPCV1,Loricariidae,Hypostomus,sp. 2
DSC_0013-HER,Characidae,Moenkhausia,comma
DSC_0013-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0013-TRAMPCV2 -DSC_0014-TRAMPCV2,Loricariidae,Hypostomus,sp. 4
DSC_0014-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0014-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0015-HER,Gymnotidae,Gymnotus,cf. jonasi 
DSC_0015-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0016-HER-DSC_0016-HER,Loricariidae,Ancistrus,sp. 2
DSC_0016-KANT,Sternopygidae,Eigenmannia,sp. 1
DSC_0016-TRAMPCV1-DSC_0018-TRAMPCV1,Cichlidae,Crenicichla,sp. 1
DSC_0018-HER-DSC_0018-HER,Loricariidae,Pterygoplichthys,sp. 1
DSC_0019-KANT,Characidae,Charax,tectifer 
DSC_0019-TRAMPCV1-DSC_0020-TRAMPCV1,Loricariidae,Rineloricaria,lanceolata 
DSC_0020-HER-DSC_0020-HER,Loricariidae,Pterygoplichthys,sp. 1
DSC_0020-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0021-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0021-TRAMPCV1-DSC_0022-TRAMPCV1,Auchenipteridae,Trachelyopterus,galeatus
DSC_0022-HER-DSC_0022-HER,Loricariidae,Pterygoplichthys,sp. 1
DSC_0022-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0022-PM3,Erythrinidae,Hoplias ,malabaricus 
DSC_0023-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0023-PM3,Callichthyidae,Corydoras,pastazensis 
DSC_0023-TRAMPCV1-DSC_0024-TRAMPCV1,Loricariidae,Hypostomus,sp. 2
DSC_00245_2+A532-TRAMPCV2,Erythrinidae,Hoplias,malabaricus
DSC_0024-HER-DSC_0025-HER,Callichthyidae,Corydoras,semiaquilus
DSC_0024-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0024-PM3,Callichthyidae,Corydoras,pastazensis 
DSC_0025-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0025-PM3,Callichthyidae,Corydoras,pastazensis 
DSC_0025-TRAMPCV1-DSC_0026-TRAMPCV1,Loricariidae,Sturisoma,nigrirostrum
DSC_0026-HER,Pseudopimelodidae,Batrochoglanis,raninus
DSC_0026-KANT,Gasteropelecidae,Gasteropelecus ,sternicla
DSC_0026-PM3,Callichthyidae,Corydoras,pastazensis 
DSC_0027-HER-DSC_0028-HER,Loricariidae,Ancistrus,sp. 1
DSC_0027-KANT,Acestrorhynchidae,Acestrorhynchus,falcatus
DSC_0027-PM3,Callichthyidae,Corydoras,pastazensis 
DSC_0027-TRAMPCV1-DSC_0028-TRAMPCV1,Loricariidae,Sturisoma,nigrirostrum
DSC_0028-KANT,Characidae,Moenkhausia,sp. 1
DSC_0028-PM3,Callichthyidae,Corydoras,atropersonatus
DSC_0029-HER,Cichlidae,Laetacara,flavilabris
DSC_0029-KANT,Cichlidae,Apistogramma,aff. cruzi
DSC_0029-PM3,Callichthyidae,Corydoras,atropersonatus
DSC_0029-TRAMPCV1-DSC_0030-TRAMPCV1,Loricariidae,Sturisoma,nigrirostrum
DSC_0030-HER,Loricariidae,Rineloricaria,sp. 1
DSC_0030-KANT,Characidae,Astyanax,cf. lacustris
DSC_0030-PM3,Loricariidae,Limatulichthys,griseus
DSC_0031-HER-DSC_0032-HER,Loricariidae,Ancistrus,sp. 2
DSC_0031-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0031-PM3,Loricariidae,Limatulichthys,griseus
DSC_0031-TRAMPCV1-DSC_0032-TRAMPCV1,Loricariidae,Sturisoma,nigrirostrum
DSC_0032-KANT_DSC_0033-KANT,Loricariidae,Ancistrus,sp. 1
DSC_0032-PM3,Loricariidae,Rineloricaria,sp. 1
DSC_0033-HER,Callichthyidae,Corydoras,aeneus
DSC_0033-PM3,Loricariidae,Rineloricaria,sp. 1
DSC_0034-HER,Callichthyidae,Corydoras,aeneus
DSC_0034-KANT,Cichlidae,Apistogramma,aff. cruzi
DSC_0034-PM3,Loricariidae,Rineloricaria,sp. 1
DSC_0035-HER,Characidae,Phenacogaster,napoatilis
DSC_0035-KANT,Cichlidae,Apistogramma,aff. cruzi
DSC_0035-PM3,Loricariidae,Rineloricaria,sp. 1
DSC_0036-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0036-KANT,Characidae,Chrysobrycon,hesperus
DSC_0036-PM3,Loricariidae,Rineloricaria,sp. 1
DSC_0037-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0037-KANT,Characidae,Hyphessobrycon,cf. margitae
DSC_0037-PM3,Heptapteridae,Pimelodella,sp. 1
DSC_0038-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0038-KANT,Characidae,Astyanax,sp. 2
DSC_0038-PM3,Heptapteridae,Pimelodella,sp. 1
DSC_0039-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0039-KANT,Characidae,Astyanax,cf. lacustris
DSC_0039-PM3,Heptapteridae,Pimelodella,sp. 1
DSC_0040-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0040-KANT,Anostomidae,Leporinus,friderici
DSC_0040-PM3,Heptapteridae,Pimelodella,cf. cristata
DSC_0041-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0041-KANT,Characidae,Hemigrammus,sp. 2
DSC_0041-PM3,Heptapteridae,Pimelodella,sp. 1
DSC_0042-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0042-KANT,Characidae,Astyanax,cf. lacustris
DSC_0042-PM3 -DSC_0043-PM3,Loricariidae,Hypoptopoma,sp. 1
DSC_0043-HER,Characidae,Hemigrammus,sp. 1
DSC_0043-KANT,Characidae,Moenkhausia,sp. 1
DSC_0044-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0044-KANT,Characidae,Moenkhausia,sp. 1
DSC_0044-PM3  -DSC_0045-PM3,Loricariidae,Otocinclus,hoppei 
DSC_0044-TI,Characidae,Hyphessobrycon,loretoensis
DSC_0045-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0045-KANT,Characidae,Moenkhausia,sp. 1
DSC_0045-TI,Characidae,Hemigrammus,cf. marginatus
DSC_0046-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0046-KANT,Characidae,Moenkhausia,sp. 1
DSC_0046-PM3 -DSC _0047-PM3,Loricariidae,Otocinclus,hoppei 
DSC_0046-TI,Characidae,Hemigrammus,sp. 1
DSC_0047-HER,Characidae,Phenacogaster,napoatilis
DSC_0047-KANT,Cichlidae,Apistogramma,aff. cruzi
DSC_0047-TI,Gasteropelecidae,Carnegiella,schereri
DSC_0048-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0048-KANT,Hypopomidae,Brachyhypopomus,pinnicaudatus
DSC_0048-PM3  -DSC_0049-PM3,Loricariidae,Otocinclus,hoppei 
DSC_0048-TI,Gasteropelecidae,Carnegiella ,strigata
DSC_0049-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0049-KANT,Gymnotidae,Gymnotus,carapo
DSC_0049-TI,Characidae,Hemigrammus,luelingi
DSC_0050-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0050-KANT,Gymnotidae,Gymnotus,cf. jonasi 
DSC_0050-PM3 -DSC_0051-PM3,Loricariidae,Hypoptopoma,sp. 1
DSC_0050-TI,Characidae,Bryconamericus,sp. 1
DSC_0051-HER,Characidae,Hyphessobrycon,loretoensis
DSC_0051-KANT,Cichlidae,Apistogramma,aff. cruzi
DSC_0051-TI,Characidae,Hemigrammus,luelingi
