Codigo foto,Carpeta/Subcarpeta,Camara usada,Fecha,Familia,Genero,Especie,Nombre cientifico,Código/ ID del individuo*,Descripcion o Ubicacion,Quebrada-transecto,Colectores,Metodo de captura
DSC_0164 - DSC_0165,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T1-CV1QCH-01,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0166 - DSC_0167,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Laetacara,flavilabris,Laetacara flavilabris,T1-CV1QCH-02,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0168 - DSC_0169,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Callichthyidae,Corydoras,aeneus,Corydoras aeneus,T1-CV1QCH-03,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0170 - DSC_0171,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Laetacara,flavilabris,Laetacara flavilabris,T1-CV1QCH-04,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0172 - DSC_0173,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T1-CV1QCH-05,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0184 - DSC_0185,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Callichthyidae,Corydoras,aeneus,Corydoras aeneus,T1-CV1QCH-06,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0186 - DSC_0187,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Callichthyidae,Corydoras,aeneus,Corydoras aeneus,T1-CV1QCH-07,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0188 - DSC_0189,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Bujurquina,moriorum,Bujurquina moriorum,T1-CV1QCH-08,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0190 - DSC_0191,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Callichthyidae,Corydoras,aeneus,Corydoras aeneus,T1-CV1QCH-09,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0192 - DSC_0193,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. eleanorae,Pyrrhulina cf. eleanorae,T1-CV1QCH-10,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0194 - DSC_0195,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Synbranchidae,Synbranchus,marmoratus,Synbranchus marmoratus,T1-CV1QCH-11,Chapintsa,T1-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0196 - DSC_0197,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T2-CV1QCH-01,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0198 - DSC_0199,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T2-CV1QCH-02,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0200 - DSC_0201,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T2-CV1QCH-03,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0202 - DSC_0203,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Erythrinidae,Erythrinus,erythrinus,Erythrinus erythrinus,T2-CV1QCH-04,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0204 - DSC_0205,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Erythrinidae,Hoplias,malabaricus,Hoplias malabaricus,T2-CV1QCH-05,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0206 - DSC_0207,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Laetacara,flavilabris,Laetacara flavilabris,T2-CV1QCH-06,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0208 - DSC_0209,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. brevis,Pyrrhulina cf. brevis,T2-CV1QCH-07,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0210 - DSC_0211,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T2-CV1QCH-08,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0212 - DSC_0213,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Laetacara,flavilabris,Laetacara flavilabris,T2-CV1QCH-09,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0214 - DSC_0215,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. brevis,Pyrrhulina cf. brevis,T2-CV1QCH-10,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0216 - DSC_0217,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Rivulidae,Anablepsoides ,sp. 1,Anablepsoides sp. 1,T2-CV1QCH-11,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0218 - DSC_0219,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Moenkhausia,sp. 1,Moenkhausia sp. 1,T2-CV1QCH-12,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0220 - DSC_0221,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Tyttocharax,sp. 1,Tyttocharax sp. 1,T2-CV1QCH-13,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0222 - DSC_0223,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Hypopomidae,Brachihypopomus,brevirostris,Brachyhypopomus brevirostris,T2-CV1QCH-14,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0224 - DSC_0225,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. brevis,Pyrrhulina cf. brevis,T2-CV1QCH-15,Chapintsa,T2-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0226 - DSC_0227,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Apistogramma,sp. nov,Apistogramma sp. nov,T3-CV1QCH-01,Chapintsa,T3-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0228 - DSC_0229,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Characidae,Hemigrammus,sp. 2,Hemigrammus sp. 2,T3-CV1QCH-02,Chapintsa,T3-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0230 - DSC_0231,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Bujurquina,moriorum,Bujurquina moriorum,T3-CV1QCH-03,Chapintsa,T3-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0232 - DSC_0233,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Cichlidae,Laetacara,flavilabris,Laetacara flavilabris,T3-CV1QCH-04,Chapintsa,T3-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
DSC_0234 - DSC_0235,"Morona 3ra entrada 2019,nov",Nikon D 3500,Wed Nov 20 00:00:00 EST 2019,Lebiasinidae,Pyrrhulina,cf. brevis,Pyrrhulina cf. brevis,T3-CV1QCH-05,Chapintsa,T3-30-50,"Morgan, Leo, Peas y wilson ",Red de arrastre y red de mano
