ID 1,ID 2,Codigo foto 2,Genero
DSC_0164,,DSC_0165,Moenkhausia
DSC_0166,,DSC_0167,Laetacara
DSC_0168,,DSC_0169,Corydoras
DSC_0170,,DSC_0171,Laetacara
DSC_0172,,DSC_0173,Moenkhausia
DSC_0184,,DSC_0185,Corydoras
DSC_0186,,DSC_0187,Corydoras
DSC_0188,,DSC_0189,Bujurquina
DSC_0190,,DSC_0191,Corydoras
DSC_0192,,DSC_0193,Pyrrhulina
DSC_0194,,DSC_0195,Synbranchus
DSC_0196,,DSC_0197,Moenkhausia
DSC_0198,,DSC_0199,Moenkhausia
DSC_0200,,DSC_0201,Moenkhausia
DSC_0202,,DSC_0203,Erythrinus
DSC_0204,,DSC_0205,Hoplias
DSC_0206,,DSC_0207,Laetacara
DSC_0208,,DSC_0209,Pyrrhulina
DSC_0210,,DSC_0211,Moenkhausia
DSC_0212,,DSC_0213,Laetacara
DSC_0214,,DSC_0215,Pyrrhulina
DSC_0216,,DSC_0217,Anablepsoides 
DSC_0218,,DSC_0219,Moenkhausia
DSC_0220,,DSC_0221,Tyttocharax
DSC_0222,,DSC_0223,Brachihypopomus
DSC_0224,,DSC_0225,Pyrrhulina
DSC_0226,,DSC_0227,Apistogramma
DSC_0228,,DSC_0229,Hemigrammus
DSC_0230,,DSC_0231,Bujurquina
DSC_0232,,DSC_0233,Laetacara
DSC_0234,,DSC_0235,Pyrrhulina
DSC_0236,,DSC_0237,Pyrrhulina
DSC_0238,,DSC_0239,Corydoras
DSC_0240,,DSC_0241,Corydoras
DSC_0242,,DSC_0243,Corydoras
DSC_0244,,DSC_0245,Moenkhausia
DSC_0246,,DSC_0247,Brachihypopomus
DSC_0248,,DSC_0249,Brachihypopomus
DSC_0250,,DSC_0251,Pyrrhulina
DSC_0252,,DSC_0253,Erythrinus
DSC_0254,,DSC_0255,Erythrinus
DSC_0256,,DSC_0257,Synbranchus
DSC_0258,,DSC_0259,Moenkhausia
DSC_0260,,DSC_0261,Moenkhausia
DSC_0262,,DSC_0263,Moenkhausia
DSC_0264,,DSC_0265,Moenkhausia
DSC_0266,,DSC_0267,Moenkhausia
DSC_0268,,DSC_0269,Moenkhausia
DSC_0270,,DSC_0271,Laetacara
DSC_0272,,DSC_0273,Laetacara
DSC_0274,,DSC_0275,Laetacara
DSC_0276,,DSC_0277,Laetacara
DSC_0278,,DSC_0279,Gymnotus
DSC_0280,,DSC_0281,Carnegiella
DSC_0282,,DSC_0283,Pyrrhulina
DSC_0284,,DSC_0285,Pyrrhulina
DSC_0286,,DSC_0287,Hemigrammus
DSC_0288,,DSC_0289,Ituglanis
DSC_0290,,DSC_0291,Hemigrammus
DSC_0292,,DSC_0293,Hemigrammus
DSC_0294,,DSC_0295,Moenkhausia
DSC_0296,,DSC_0297,Moenkhausia
DSC_0298,,DSC_0299,Moenkhausia
DSC_0300,,DSC_0301,Hemigrammus
DSC_0302,,DSC_0303,Pyrrhulina
DSC_0304,,DSC_0305,Moenkhausia
DSC_0306,,DSC_0307,Moenkhausia
DSC_0308,,DSC_0309,Hemigrammus
DSC_0310,,DSC_0311,Moenkhausia
DSC_0312,,DSC_0313,Hemigrammus
DSC_0314,,DSC_0315,Hemigrammus
DSC_0318,,DSC_0319,Copeina
DSC_0320,,DSC_0321,Copeina
DSC_0322,,DSC_0323,Copeina
DSC_0324,,DSC_0325,Pyrrhulina
DSC_0326,,DSC_0327,Pyrrhulina
DSC_0328,,DSC_0329,Erythrinus
DSC_0330,,DSC_0331,Apistogramma
DSC_0332,,DSC_0333,Brachihypopomus
DSC_0334,,DSC_0335,Nemuroglanis
DSC_0336,,DSC_0337,Erythrinus
DSC_0338,,DSC_0339,Hemigrammus
DSC_0340,,DSC_0341,Ituglanis
DSC_0358,,DSC_0359,Astyanax
DSC_0360,,DSC_0361,Moenkhausia
DSC_0362,,DSC_0363,Knodus
DSC_0364,,DSC_0365,Knodus
DSC_0366,,DSC_0367,Knodus
DSC_0368,,DSC_0369,Knodus
