family,genus,specificEpithet,country,catalogNumber,IndivID,Camera,photoID,id
Characidae,Brachychalcinus,nummus,Ecuador,311296,1,W100-06,DSCN0786.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,1,W100-06,DSCN0787.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,1,Coolpix B500,DSCN0109.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,1,Coolpix B500,DSCN0110.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,2,W100-06,DSCN0788.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,2,W100-06,DSCN0789.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,2,Coolpix B500,DSCN0111.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,2,Coolpix B500,DSCN0112.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,3,W100-06,DSCN0790.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,3,W100-06,DSCN0791.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,3,Coolpix B500,DSCN0113.JPG,
Characidae,Brachychalcinus,nummus,Ecuador,311296,3,Coolpix B500,DSCN0114.JPG,
Characidae,Brachychalcinus,nummus,Peru,229417,1,W100-06,DSCN0792.JPG,B
Characidae,Brachychalcinus,nummus,Peru,229417,1,W100-06,DSCN0793.JPG,B
Characidae,Brachychalcinus,nummus,Peru,229417,1,Coolpix B500,DSCN0115.JPG,B
Characidae,Brachychalcinus,nummus,Peru,229417,1,Coolpix B500,DSCN0116.JPG,B
Characidae,Brachychalcinus,nummus,Peru,229417,2,W100-06,DSCN0794.JPG,A
Characidae,Brachychalcinus,nummus,Peru,229417,2,W100-06,DSCN0795.JPG,A
Characidae,Brachychalcinus,nummus,Peru,229417,2,Coolpix B500,DSCN0117.JPG,A
Characidae,Brachychalcinus,nummus,Peru,229417,2,Coolpix B500,DSCN0118.JPG,A
Characidae,Brachychalcinus,nummus,Peru,229417,3,W100-06,DSCN0796.JPG,C
Characidae,Brachychalcinus,nummus,Peru,229417,3,W100-06,DSCN0797.JPG,C
Characidae,Brachychalcinus,nummus,Peru,229417,3,Coolpix B500,DSCN0119.JPG,C
Characidae,Brachychalcinus,nummus,Peru,229417,3,Coolpix B500,DSCN0120.JPG,C
Characidae,Brachychalcinus,copei,Bolivia,305374,1,W100-06,DSCN0798.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,1,W100-06,DSCN0799.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,1,Coolpix B500,DSCN0121.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,1,Coolpix B500,DSCN0122.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,2,W100-06,DSCN0800.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,2,W100-06,DSCN0801.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,2,Coolpix B500,DSCN0123.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,2,Coolpix B500,DSCN0124.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,3,W100-06,DSCN0802.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,3,W100-06,DSCN0803.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,3,Coolpix B500,DSCN0125.JPG,
Characidae,Brachychalcinus,copei,Bolivia,305374,3,Coolpix B500,DSCN0126.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,1,W100-06,DSCN0804.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,1,Coolpix B500,DSCN0127.JPG,Blurry
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,1,Coolpix B500,DSCN0128.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,1,Coolpix B500,DSCN0129.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,1,Coolpix B499,DSCN0130.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,2,Coolpix B500,DSCN0131.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,2,Coolpix B500,DSCN0132.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,2,Coolpix B500,DSCN0133.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,2,Coolpix B500,DSCN0134.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,3,Coolpix B500,DSCN0135.JPG,
Gasteropelecidae,Carnegiella,Myersi,Peru,328578,3,Coolpix B500,DSCN0136.JPG,
